id,cores,threads,name,processor_number,launch_date,lithography,bus_speed,base_frequency,turbo_frequency,configurable_tdp_up_frequency,cache_size,tdp,configurable_tdp_up,price,product_line,socket,memory_type,url,vertical_segment,max_memory_size,status,max_temp,sku,package_size
2794,2,2,Intel Atom C2316,C2316,2017-08-01,22,,1500,,,1024,7,,,"",FCBGA1283,DDR 1333,https://ark.intel.com/content/www/us/en/ark/products/123003/intel-atom-processor-c2316-1m-cache-1-50-ghz.html,Embedded,16777216,Launched,100,123003,34 mm x 28 mm
2795,2,4,Intel Atom D2550,D2550,2012-02-01,32,,1860,,,1024,10,,,"",FCBGA559,DDR3 800/1066,https://ark.intel.com/content/www/us/en/ark/products/65470/intel-atom-processor-d2550-1m-cache-1-86-ghz.html,Desktop,4194304,Discontinued,100,65470,22mm X 22 mm
2796,2,4,Intel Atom D2700,D2700,2011-08-01,32,2.5,2130,,,1024,10,,,"",FCBGA559,DDR3 800/1066,https://ark.intel.com/content/www/us/en/ark/products/59683/intel-atom-processor-d2700-1m-cache-2-13-ghz.html,Desktop,4194304,Discontinued,100,59683,22mm X 22 mm
2797,2,2,Intel Atom D2500,D2500,2011-08-01,32,2.5,1860,,,1024,10,,,"",FCBGA559,DDR3 800/1066,https://ark.intel.com/content/www/us/en/ark/products/59682/intel-atom-processor-d2500-1m-cache-1-86-ghz.html,Desktop,4194304,Discontinued,100,59682,22mm X 22mm
2798,2,4,Intel Atom N2800,N2800,2011-11-01,32,2.5,1860,,,1024,6.5,,,"",FCBGA559,DDR3,https://ark.intel.com/content/www/us/en/ark/products/58917/intel-atom-processor-n2800-1m-cache-1-86-ghz.html,Mobile,5117050.8798828125,Discontinued,,58917,
2799,4,4,Intel Atom C2508,C2508,2014-05-01,22,,1250,,,2048,9.5,,,"",FCBGA1283,DDR3 1333,https://ark.intel.com/content/www/us/en/ark/products/81270/intel-atom-processor-c2508-2m-cache-1-25-ghz.html,Embedded,33554432,Launched,85,81270,34 mm x 28 mm
2800,8,8,Intel Atom C2758,C2758,2013-08-01,22,,2400,,,4096,20,,,"",FCBGA1283,DDR3/DDR3L 1600,https://ark.intel.com/content/www/us/en/ark/products/77988/intel-atom-processor-c2758-4m-cache-2-40-ghz.html,Embedded,67108864,Launched,,77988,34 mm x 28 mm
2801,8,8,Intel Atom C2750,C2750,2013-08-01,22,,2400,2600,,4096,20,,,"",FCBGA1283,DDR3/DDR3L 1600,https://ark.intel.com/content/www/us/en/ark/products/77987/intel-atom-processor-c2750-4m-cache-2-40-ghz.html,Server,67108864,Launched,97,77987,34 mm x 28 mm
2802,8,8,Intel Atom C2738,C2738,2013-08-01,22,,2400,,,4096,20,,,"",FCBGA1283,DDR3/DDR3L 1600,https://ark.intel.com/content/www/us/en/ark/products/77986/intel-atom-processor-c2738-4m-cache-2-40-ghz.html,Embedded,67108864,Launched,,77986,34 mm x 28 mm
2803,8,8,Intel Atom C2730,C2730,2013-08-01,22,,1700,2400,,4096,12,,,"",FCBGA1283,DDR3/DDR3L 1600,https://ark.intel.com/content/www/us/en/ark/products/77985/intel-atom-processor-c2730-4m-cache-1-70-ghz.html,Server,33554432,Launched,97,77985,34 mm x 28 mm
2804,16,16,Intel Atom C3950,C3950,2017-08-01,14,,1700,2200,,16384,24,,,"",FCBGA1310,DDR4: 2400,https://ark.intel.com/content/www/us/en/ark/products/97940/intel-atom-processor-c3950-16m-cache-up-to-2-20-ghz.html,Server,268435456,Launched,78,97940,34 mm x 28 mm
2805,12,12,Intel Atom C3808,C3808,2017-08-01,14,,2000,2000,,12288,25,,,"",FCBGA1310,DDR4: 2133,https://ark.intel.com/content/www/us/en/ark/products/97939/intel-atom-processor-c3808-12m-cache-up-to-2-0-ghz.html,Server,268435456,Launched,86,97939,34 mm x 28 mm
2806,8,8,Intel Atom C3750,C3750,2017-08-01,14,,2200,2400,,16384,21,,,"",FCBGA1310,DDR4: 2400,https://ark.intel.com/content/www/us/en/ark/products/97938/intel-atom-processor-c3750-16m-cache-up-to-2-40-ghz.html,Server,268435456,Launched,84,97938,34 mm x 28 mm
2807,4,4,Intel Atom C3558,C3558,2017-08-01,14,,2200,2200,,8192,16,,,"",FCBGA1310,DDR4: 2133,https://ark.intel.com/content/www/us/en/ark/products/97937/intel-atom-processor-c3558-8m-cache-up-to-2-20-ghz.html,Server,268435456,Launched,83,97937,34 mm x 28 mm
2808,12,12,Intel Atom C3858,C3858,2017-08-01,14,,2000,2000,,12288,25,,,"",FCBGA1310,DDR4: 2400,https://ark.intel.com/content/www/us/en/ark/products/97936/intel-atom-processor-c3858-12m-cache-up-to-2-0-ghz.html,Server,268435456,Launched,83,97936,34 mm x 28 mm
2809,2,2,Intel Atom C3308,C3308,2017-08-01,14,,1600,2100,,4096,9.5,,,"",FCBGA1310,DDR4: 1866,https://ark.intel.com/content/www/us/en/ark/products/97935/intel-atom-processor-c3308-4m-cache-up-to-2-10-ghz.html,Server,134217728,Launched,89,97935,34 mm x 28 mm
2810,8,8,Intel Atom C3708,C3708,2017-08-01,14,,1700,1700,,16384,17,,,"",FCBGA1310,DDR4: 2133,https://ark.intel.com/content/www/us/en/ark/products/97934/intel-atom-processor-c3708-16m-cache-up-to-1-70-ghz.html,Server,268435456,Launched,85,97934,34 mm x 28 mm
2811,16,16,Intel Atom C3955,C3955,2017-08-01,14,,2100,2400,,16384,32,,,"",FCBGA1310,DDR4: 2400,https://ark.intel.com/content/www/us/en/ark/products/97933/intel-atom-processor-c3955-16m-cache-up-to-2-40-ghz.html,Server,268435456,Launched,78,97933,34 mm x 28 mm
2812,12,12,Intel Atom C3850,C3850,2017-08-01,14,,2100,2400,,12288,25,,,"",FCBGA1310,DDR4: 2400,https://ark.intel.com/content/www/us/en/ark/products/97932/intel-atom-processor-c3850-12m-cache-up-to-2-40-ghz.html,Server,268435456,Launched,78,97932,34 mm x 28 mm
2813,12,12,Intel Atom C3830,C3830,2017-08-01,14,,1900,2300,,12288,21.5,,,"",FCBGA1310,DDR4: 2133,https://ark.intel.com/content/www/us/en/ark/products/97931/intel-atom-processor-c3830-12m-cache-up-to-2-30-ghz.html,Server,268435456,Launched,85,97931,34 mm x 28 mm
2814,4,4,Intel Atom C3508,C3508,2017-08-01,14,,1600,1600,,8192,11.5,,,"",FCBGA1310,DDR4: 1866,https://ark.intel.com/content/www/us/en/ark/products/97930/intel-atom-processor-c3508-8m-cache-up-to-1-60-ghz.html,Server,268435456,Launched,90,97930,34 mm x 28 mm
2815,4,4,Intel Atom C3538,C3538,2017-08-01,14,,2100,2100,,8192,15,,,"",FCBGA1310,DDR4: 2133,https://ark.intel.com/content/www/us/en/ark/products/97929/intel-atom-processor-c3538-8m-cache-up-to-2-10-ghz.html,Server,268435456,Launched,87,97929,34 mm x 28 mm
2816,2,2,Intel Atom C3338,C3338,2017-02-01,14,,1500,2200,,4096,8.5,,,"",FCBGA1310,DDR4: 1866,https://ark.intel.com/content/www/us/en/ark/products/97928/intel-atom-processor-c3338-4m-cache-up-to-2-20-ghz.html,Server,134217728,Launched,89,97928,34 mm x 28 mm
2817,16,16,Intel Atom C3958,C3958,2017-08-01,14,,2000,2000,,16384,31,,,"",FCBGA1310,DDR4: 2400,https://ark.intel.com/content/www/us/en/ark/products/97927/intel-atom-processor-c3958-16m-cache-up-to-2-0-ghz.html,Server,268435456,Launched,83,97927,34 mm x 28 mm
2818,8,8,Intel Atom C3758,C3758,2017-08-01,14,,2200,2200,,16384,25,,,"",FCBGA1310,DDR4: 2400,https://ark.intel.com/content/www/us/en/ark/products/97926/intel-atom-processor-c3758-16m-cache-up-to-2-20-ghz.html,Server,268435456,Launched,82,97926,34 mm x 28 mm
2819,2,2,Intel Atom C2308,C2308,2014-05-01,22,,1250,,,1024,6,,,"",FCBGA1283,DDR 1333,https://ark.intel.com/content/www/us/en/ark/products/81328/intel-atom-processor-c2308-1m-cache-1-25-ghz.html,Embedded,16777216,Launched,85,81328,34 mm x 28 mm
2820,1,1,"Intel Itanium 1.60 GHz, 9M Cache, 533 MHz FSB",,,130,533,1600,,,9216,122,,,"",,,https://ark.intel.com/content/www/us/en/ark/products/27993/intel-itanium-processor-1-60-ghz-9m-cache-533-mhz-fsb.html,Server,,Discontinued,83,27993,90mm x 48.26mm
2821,1,1,"Intel Itanium 1.60 GHz, 6M Cache, 533 MHz FSB",,,130,533,1600,,,6144,122,,,"",,,https://ark.intel.com/content/www/us/en/ark/products/27991/intel-itanium-processor-1-60-ghz-6m-cache-533-mhz-fsb.html,Server,,Discontinued,83,27991,90mm x 48.26mm
2822,1,1,"Intel Itanium 1.66 GHz, 9M Cache, 667 MHz FSB",,,130,667,1660,,,9216,122,,,"",,,https://ark.intel.com/content/www/us/en/ark/products/27995/intel-itanium-processor-1-66-ghz-9m-cache-667-mhz-fsb.html,Server,,Discontinued,83,27995,90mm x 48.26mm
2823,1,1,"Intel Itanium 1.66 GHz, 6M Cache, 667 MHz FSB",,,130,667,1660,,,6144,122,,,"",,,https://ark.intel.com/content/www/us/en/ark/products/27994/intel-itanium-processor-1-66-ghz-6m-cache-667-mhz-fsb.html,Server,,Discontinued,83,27994,90mm x 48.26mm
2824,4,4,Intel Atom x3-C3295RK,x3-C3295RK,2016-11-01,28,,,,,1024,,,,"",VF2BGA361,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/97134/intel-atom-x3c3295rk-processor-1m-cache-up-to-1-1-ghz.html,Mobile,2097152,Launched,85,97134,
2825,4,4,Intel Atom x3-C3265RK,x3-C3265RK,2016-11-01,28,,,,,1024,,,,"",VF2BGA361,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/97133/intel-atom-x3c3265rk-processor-1m-cache-up-to-1-1-ghz.html,Mobile,2097152,Discontinued,85,97133,
2826,4,4,Intel Atom x3-C3205RK,x3-3205RK,2016-11-01,28,,,,,1024,,,,"",VF2BGA361,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/94228/intel-atom-x3c3205rk-processor-1m-cache-up-to-1-20-ghz.html,Mobile,2097152,Discontinued,,94228,
2827,4,4,Intel Atom x3-C3235RK,x3-C3235RK,2015-11-01,28,,,,,1024,,,,"",VF2BGA361,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/94227/intel-atom-x3c3235rk-processor-1m-cache-up-to-1-20-ghz.html,Mobile,2097152,Launched,,94227,
2828,4,4,Intel Atom Z3590,Z3590,2015-08-01,22,,,,,2048,,,,"",,LPDDR3 1600,https://ark.intel.com/content/www/us/en/ark/products/91319/intel-atom-processor-z3590-2m-cache-up-to-2-50-ghz.html,Mobile,4194304,Discontinued,90,91319,14x14mm
2829,4,4,Intel Atom Z3570,Z3570,2014-08-01,22,,,,,2048,,,,"",,LPDDR3 1600,https://ark.intel.com/content/www/us/en/ark/products/84324/intel-atom-processor-z3570-2m-cache-up-to-2-00-ghz.html,Mobile,4194304,Discontinued,90,84324,14x14mm
2830,4,4,Intel Atom Z3530,Z3530,2014-05-01,22,,,,,2048,,,,"",FC-MB5T1064,LPDDR3 1600,https://ark.intel.com/content/www/us/en/ark/products/84072/intel-atom-processor-z3530-2m-cache-up-to-1-33-ghz.html,Mobile,4194304,Discontinued,90,84072,14x14mm
2831,4,4,Intel Atom Z3580,Z3580,2014-05-01,22,,,,,2048,,,,"",,LPDDR3 1600,https://ark.intel.com/content/www/us/en/ark/products/81195/intel-atom-processor-z3580-2m-cache-up-to-2-33-ghz.html,Mobile,4194304,Discontinued,90,81195,14x14mm
2832,4,4,Intel Atom Z3560,Z3560,2014-05-01,22,,,,,2048,,,,"",,LPDDR3 1600,https://ark.intel.com/content/www/us/en/ark/products/81194/intel-atom-processor-z3560-2m-cache-up-to-1-83-ghz.html,Mobile,4194304,Discontinued,90,81194,14x14mm
2833,8,8,Intel Atom C2718,C2718,2013-08-01,22,,2000,,,4096,18,,,"",FCBGA1283,DDR3/DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/77984/intel-atom-processor-c2718-4m-cache-2-00-ghz.html,Embedded,33554432,Launched,,77984,34 mm x 28 mm
2834,4,4,Intel Atom C2558,C2558,2013-08-01,22,,2400,,,2048,15,,,"",FCBGA1283,DDR3/DDR3L 1600,https://ark.intel.com/content/www/us/en/ark/products/77983/intel-atom-processor-c2558-2m-cache-2-40-ghz.html,Embedded,67108864,Launched,,77983,34 mm x 28 mm
2835,4,4,Intel Atom C2550,C2550,2013-08-01,22,,2400,2600,,2048,14,,,"",FCBGA1283,DDR3/DDR3L 1600,https://ark.intel.com/content/www/us/en/ark/products/77982/intel-atom-processor-c2550-2m-cache-2-40-ghz.html,Server,67108864,Launched,96,77982,34 mm x 28 mm
2836,4,4,Intel Atom C2538,C2538,2013-08-01,22,,2400,,,2048,15,,,"",FCBGA1283,DDR3/DDR3L 1600,https://ark.intel.com/content/www/us/en/ark/products/77981/intel-atom-processor-c2538-2m-cache-2-40-ghz.html,Embedded,67108864,Launched,,77981,34 mm x 28 mm
2837,4,4,Intel Atom C2530,C2530,2013-08-01,22,,1700,2400,,2048,9,,,"",FCBGA1283,DDR3/DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/77980/intel-atom-processor-c2530-2m-cache-1-70-ghz.html,Server,33554432,Launched,97,77980,34 mm x 28 mm
2838,4,4,Intel Atom C2518,C2518,2013-08-01,22,,1700,,,2048,13,,,"",FCBGA1283,DDR3/DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/77979/intel-atom-processor-c2518-2m-cache-1-70-ghz.html,Embedded,33554432,Launched,,77979,34 mm x 28 mm
2839,2,2,Intel Atom C2358,C2358,2013-08-01,22,,1700,2000,,1024,7,,,"",FCBGA1283,DDR3/DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/77978/intel-atom-processor-c2358-1m-cache-1-70-ghz.html,Embedded,16777216,Launched,,77978,34 mm x 28 mm
2840,2,2,Intel Atom C2350,C2350,2013-08-01,22,,1700,2000,,1024,6,,,"",FCBGA1283,DDR3/DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/77977/intel-atom-processor-c2350-1m-cache-1-70-ghz.html,Server,16777216,Launched,98,77977,34 mm x 28 mm
2841,2,2,Intel Atom C2338,C2338,2013-08-01,22,,1700,2000,,1024,7,,,"",FCBGA1283,DDR3/DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/77976/intel-atom-processor-c2338-1m-cache-1-70-ghz.html,Embedded,16777216,Launched,,77976,34 mm x 28 mm
2842,4,4,Intel Atom C3436L,C3436L,2020-05-01,14,,1300,,,8192,10.75,,,"",FCBGA1310,DDR4-1866,https://ark.intel.com/content/www/us/en/ark/products/204842/intel-atom-processor-c3436l-8m-cache-1-30-ghz.html,Server,268435456,Launched,86,204842,34 mm x 28 mm
2843,4,4,Intel Atom C3558R,C3558R,2020-05-01,14,,2400,,,8192,17,,,"",FCBGA1310,DDR4-2400,https://ark.intel.com/content/www/us/en/ark/products/204841/intel-atom-processor-c3558r-8m-cache-2-40-ghz.html,Server,268435456,Launched,82,204841,34 mm x 28 mm
2844,8,8,Intel Atom C3758R,C3758R,2020-05-01,14,,2400,,,16384,26,,,"",FCBGA1310,DDR4-2400,https://ark.intel.com/content/www/us/en/ark/products/204840/intel-atom-processor-c3758r-16m-cache-2-40-ghz.html,Server,268435456,Launched,82,204840,34 mm x 28 mm
2845,2,2,Intel Atom C3338R,C3338R,2020-05-01,14,,1800,2200,,4096,10.5,,,"",FCBGA1310,DDR4-1866,https://ark.intel.com/content/www/us/en/ark/products/204839/intel-atom-processor-c3338r-4m-cache-up-to-2-20-ghz.html,Server,134217728,Launched,88,204839,34 mm x 28 mm
2846,2,2,Intel Atom C3336,C3336,2018-08-01,14,,1500,,,4096,11,,,"",FCBGA1310,DDR4: 1866,https://ark.intel.com/content/www/us/en/ark/products/184994/intel-atom-processor-c3336-4m-cache-1-50-ghz.html,Server,134217728,Launched,89,184994,34 mm x 28 mm
2847,4,4,Intel Atom C2516,C2516,2017-08-01,22,,1400,,,2048,10,,,"",FCBGA1283,DDR 1333,https://ark.intel.com/content/www/us/en/ark/products/123004/intel-atom-processor-c2516-2m-cache-1-40-ghz.html,Embedded,33554432,Launched,100,123004,34 mm x 28 mm
2848,2,2,Intel Atom E3805,E3805,2014-11-01,22,,1330,,,1024,3,,,"",FCBGA1170,DDR3L 1067,https://ark.intel.com/content/www/us/en/ark/products/84311/intel-atom-processor-e3805-1m-cache-1-33-ghz.html,Embedded,8388608,Launched,40,84311,25mm x 27mm
2849,4,4,Intel Atom x7-Z8750,x7-Z8750,2016-02-01,14,,1600,,,2048,,,,"",UTFCBGA1380,LPDDR3 1600,https://ark.intel.com/content/www/us/en/ark/products/93362/intel-atom-x7z8750-processor-2m-cache-up-to-2-56-ghz.html,Mobile,8388608,Launched,90,93362,17mm x 17mm
2850,4,4,Intel Atom x5-Z8350,x5-Z8350,2016-02-01,14,,1440,,,2048,,,,"",UTFCBGA592,DDR3L-RS 1600,https://ark.intel.com/content/www/us/en/ark/products/93361/intel-atom-x5z8350-processor-2m-cache-up-to-1-92-ghz.html,Mobile,2097152,Launched,90,93361,17mm x 17mm
2851,4,4,Intel Atom x5-Z8550,x5-Z8550,2016-02-01,14,,1440,,,2048,,,,"",UTFCBGA1380,LPDDR3 1600,https://ark.intel.com/content/www/us/en/ark/products/93360/intel-atom-x5z8550-processor-2m-cache-up-to-2-40-ghz.html,Mobile,8388608,Launched,90,93360,17mm x 17mm
2852,4,4,Intel Atom x5-Z8330,x5-Z8330,2016-02-01,14,,1440,,,2048,,,,"",,DDR3L-RS 1600,https://ark.intel.com/content/www/us/en/ark/products/91564/intel-atom-x5z8330-processor-2m-cache-up-to-1-92-ghz.html,Mobile,2097152,Launched,90,91564,17mm x 17mm
2853,4,4,Intel Atom x3-C3200RK,x3-C3200RK,2015-02-01,28,,,,,1024,,,,"",,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/87531/intel-atom-x3c3200rk-processor-1m-cache-up-to-1-10-ghz.html,Mobile,2097152,Discontinued,85,87531,11mm x 11mm
2854,4,4,Intel Atom x3-C3405,x3-C3405,2015-02-01,28,,1200,,,1024,,,,"",,1x32 LPDDR2/3 1066,https://ark.intel.com/content/www/us/en/ark/products/87530/intel-atom-x3c3405-processor-1m-cache-up-to-1-40-ghz.html,Mobile,2097152,Announced,85,87530,12mm x 12mm
2855,4,4,Intel Atom x3-C3230RK,x3-C3230RK,2015-02-01,28,,,,,1024,,,,"",,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,https://ark.intel.com/content/www/us/en/ark/products/87461/intel-atom-x3c3230rk-processor-1m-cache-up-to-1-10-ghz.html,Mobile,2097152,Discontinued,85,87461,11mm x 11mm
2856,4,4,Intel Atom x3-C3445,x3-C3445,2015-02-01,28,,1200,,,1024,,,,"",,1x32 LPDDR2/3 1066,https://ark.intel.com/content/www/us/en/ark/products/87460/intel-atom-x3c3445-processor-1m-cache-up-to-1-40-ghz.html,Mobile,2097152,Announced,85,87460,12mm x 12mm
2857,4,4,Intel Atom x5-Z8300,x5-Z8300,2015-05-01,14,,1440,,,2048,,,,"",UTFCBGA592,DDR3L-RS 1600,https://ark.intel.com/content/www/us/en/ark/products/87383/intel-atom-x5z8300-processor-2m-cache-up-to-1-84-ghz.html,Mobile,2097152,Discontinued,90,87383,17mm x 17mm
2858,4,4,Intel Atom x7-Z8700,x7-Z8700,2015-02-01,14,,1600,,,2048,,,,"",UTFCBGA1380,LPDDR3 1600,https://ark.intel.com/content/www/us/en/ark/products/85475/intel-atom-x7z8700-processor-2m-cache-up-to-2-40-ghz.html,Mobile,8388608,Launched,90,85475,17mm x 17mm
